Año,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto
2016,10055,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/22/2016 12:00:00 AM,Consorcio ISA,Cerrada,19573,239 Unidad of Frazada térmica para uso por encima de 3.000M de altitud NTMD 0234 1 Unidad of IVA,22987160.53,Material de Intendencia,Bogotá,Obligada,ND
2016,10056,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/22/2016 12:00:00 AM,Unión Temporal Facocrear 2015,Emitida,19572,302 Unidad of Bufanda Pasamontañas NTMD 0136 A4 1 Unidad of IVA,5247793.60,Material de Intendencia,Bogotá,Obligada,ND
2016,10057,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/22/2016 12:00:00 AM,Jem Supplies S.A.S.,Cerrada,19571,537 Unidad of Camiseta NTMD 0077 A8 1 Unidad of IVA,4858794.69,Material de Intendencia,Bogotá,Obligada,ND
2016,10058,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/22/2016 12:00:00 AM,Comercializadora Internacional Texman S.A.S.,Cerrada,19570,3 763 Unidad of Sobrecarpa NTMD 0171 A2 1 Unidad of Valor IVA,410806408.96,Material de Intendencia,Bogotá,Obligada,ND
2016,10062,Ejecutiva,Agricultura y Desarrollo Rural,AGENCIA NACIONAL DE TIERRAS,Elizabeth Gomez Sanchez,08/22/2016 12:00:00 AM,PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.,Emitida,19258,3 Unidad of INACTIVE PROTECTOR CARTA X25 POLIPRO. Cod: 8000187 50 Unidad of INACTIVE GRAPA 26/6 X5000 COBRE LISA Cod: 8001503 5 Unidad of INACTIVE TINTA P/SELLOS 30 C.C. NEGRA Cod: 8008601 10 Unidad of INACTIVE LIBRO ACTAS 200 FOLIOS ECON. OFICIO Cod: 8009983 200 Unidad of INACTIVE CLIP ESTANDAR METALICO X 100 GEMA 5102 Cod: 8016767 30 Unidad of INACTIVE NOTAS ADHESIVAS POST-IT 3.8X5 FLUORESCEN Cod: 8022579 200 Unidad of INACTIVE SOBRE MANILA 1/2 OFICIO 17.5X24 ECOLOGIC Cod: 8024138 3 Unidad of INACTIVE PERFORADORA KW-952 2 HUECOS 160 H Cod: 8024359 4 Unidad of INACTIVE CINTA POLIPRO 48X40 TRANSPA COLBON Cod: 8025753 200 Unidad of INACTIVE SOBRE MANILA 1/2 CARTA 17.5X24 KRAFT SIN Cod: 8026764 5 Unidad of INACTIVE FECHADOR 461 RHEZT STANDAR (1010) Cod: 8043222 10 Unidad of INACTIVE LEGAJADOR AZ OFICIO ECONOMICO JULMAR Cod: 8075281 5 Unidad of INACTIVE COSEDORA SEMINDUSTRIAL 120 HOJAS Cod: 8079272 5 Unidad of CD GRABABLE 700MB 52X X 100 IMATION SPIN Cod: 8087393 150 Unidad of INACTIVE SACAGANCHOS 508B GENMES Cod: 8114095 30 Unidad of INACTIVE HUMEDECEDOR PASTA SORTKWIK 3/8 ONZ Cod: 8141263 200 Unidad of INACTIVE GANCHO LEGAJADOR PLAST X20 CORREDE COLOR Cod: 8183435 50 Unidad of INACTIVE CAJA PARA ARCHIVO INACTIVO 19.5X40X26CM Cod: 8490670 400 Unidad of INACTIVE BOLIGRAFO NEGRO BIC CRISTAL 111111002 Cod: 8490678 100 Unidad of INACTIVE CORTADOR DELGADO PLASTICO SEGURO NEGRO Cod: 8490704 2 Unidad of INACTIVE CORTADORA CORTE LISO 45X45 Cod: 8490715 30 Unidad of INACTIVE CINTA POLIPROPILENO 12X40 COLBON Cod: 8490747 15 Unidad of INACTIVE PASTA ARGOLLA CONVERTIBLE CARTA 105 0.5  R BLANCA Cod: 8490816 10 Unidad of INACTIVE PASTA ARGOLLA CONVERTIBLE CARTA 105 3  D BLANCA Cod: 8490819 10 Unidad of INACTIVE ALMOHADILLA DACTILAR EASY PRINT CERAMICA Cod: 8490846 20 Unidad of INACTIVE PERFORADORA NHITAN 2 HUECOS 20 HOJAS Cod: 8490859 300 Unidad of INACTIVE RESALTADOR ROSADO ERGONOMICO SPEKTRA Cod: 8490875 4 Unidad of INACTIVE PAPELERA SENCILLA LINEAL MADERA P/ESCRITORIO Cod: 8490592 1 Unidad of INACTIVE TONER H.P CE255A NEGRO LJ P3015 Cod: 8490919 1 Unidad of INACTIVE TONER H.P CF280A NEGRO LJ M400/M401/M425 Cod: 8490940 70 Unidad of INACTIVE COSEDORA 1068 NHITAN PLASTICA 20 HOJAS Cod: 8187097 15 Unidad of INACTIVE BANDERITAS X 4 SURTIDO 11.9X43.2 POT-IT Cod: 8075936,6603242.00,Grandes Superficies,Bogotá,Obligada,ND
2014,1016,No Definida,,DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE  LA RECREACION  LA ACTIVIDAD FISICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE,Perla Esther Alvarez Cervantes,12/19/2014 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,3375,3 Unidad of Portatil Acer E5-471-5715 N_ 1 Unidad of INACTIVE Convertible 2-1 Yoga 2-11  2 Unidad of INACTIVE MacBook Air MD711E/B 11  128GB 8 Unidad of INACTIVE PC All in One HP 23-N010LA Touch 6 Unidad of INACTIVE Port til ASUS X450LNV-WX059H Gris,39500000.00,Grandes Superficies,Bogotá,,ND
2020,44313,Organismos autónomo o independientes,No Definido,INSTITUTO DE INFRAESTRUCTURA Y CONCESIONES DE CUNDINAMARCA,Cesar Augusto Reina Segura,01/16/2020 12:00:00 AM,GRUPO EDS AUTOGAS S.A.S.,Emitida,70583,85 000 000 Peso (COP) of Combustible (Categoría A) - Referencia Bogotá,85000000.00,Combustible (Bogotá) II,Bogotá,No obligada,NO
2016,10063,Ejecutiva,Minas y Energía,MINISTERIO DE MINAS Y ENERGIA - GESTION GENERAL,Lady Angelica Mora Alvarado,08/22/2016 12:00:00 AM,Unión Temporal Ladoinsa 2014,Cerrada,19522,8 Mes of R11 - Operario de cafetería Tiempo Completo - 6 8 Mes of R11 - Operario de aseo Tiempo Completo - 13 8 Unidad of R11 - Bienes de Aseo y Cafetería 8 Mes of R11 - Jardinería - 2050 4 Metro Cuadrado of R11 - Fumigación - 10592 1 Unidad of R11 - Recargo por Trabajo nocturno  extra  dominical y festivo 1 Unidad of R11 - Recargo por dotación especial 1 Unidad of R11 - AIU 1 Unidad of R11 - IVA 1 Unidad of R11 - Gravámenes adicionales 1 Unidad of Reajuste de IPC  1 Unidad of Reajuste Salarial,248323878.35,Aseo y Cafetería,Bogotá,Obligada,ND
2016,10067,Ejecutiva,Salud y Protección Social,UAEPC,Constanza Monica Vargas Arenas,08/22/2016 12:00:00 AM,QBE SEGUROS S.A,Emitida,19580,1 Unidad of 221 CAMPEROS Y CAMIONETAS 1500 a 2500c.c. 0 a 9 años,514494.00,SOAT II,Bogotá,No obligada,ND
2016,10068,Ejecutiva,Defensa Nacional,FONDO ROTATORIO DE LA POLICIA,Rosalba Zamora Castro,08/22/2016 12:00:00 AM,Mapfre Seguros Generales de Colombia S.A.,Emitida,19588,1 Unidad of Automóvil 1 Unidad of Camionetas y camperos  1 Unidad of Carga o mixto 1 Unidad of Motocicletas 1 Unidad of Servicio público intermunicipal 1 Unidad of Vehículo para 6 o más pasajeros 1 Unidad of IVA,69284721.08,Seguros de Vehículos,Bogotá,Obligada,ND
2016,10076,Ejecutiva,Inclusión social y reconciliación,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,Neftali Guzman Molina,08/23/2016 12:00:00 AM,Dotación Integral S.A.S.,Cerrada,19607,8 Unidad of kit Un par de zapatos Calzado De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,878816.00,Dotaciones de Vestuario,Ibagué,Obligada,ND
2016,10077,Ejecutiva,Inclusión social y reconciliación,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,Neftali Guzman Molina,08/23/2016 12:00:00 AM,Dotación Integral S.A.S.,Cerrada,19604,32 Unidad of kit Un par de zapatos Calzado De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,3515264.00,Dotaciones de Vestuario,Ibagué,Obligada,ND
2016,10078,Ejecutiva,Inclusión social y reconciliación,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,Neftali Guzman Molina,08/23/2016 12:00:00 AM,Cesar Adolfo Moreno Ramos,Cerrada,19596,32 Unidad of kit Clásico Clima Cálido De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,4860827.00,Dotaciones de Vestuario,Ibagué,Obligada,ND
2020,44314,Ejecutiva,Agricultura y Desarrollo Rural,AGENCIA NACIONAL DE TIERRAS,David Elias  Duarte Zuluaga,01/16/2020 12:00:00 AM,Viaja por el Mundo Web Nickisix 360 S.A.S.,Emitida,75257,1 Unidad of tqa02--Presupuesto,2178727450.00,Tiquetes Aéreos II,Bogotá,Obligada,NO
2016,10079,Ejecutiva,Inclusión social y reconciliación,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,Neftali Guzman Molina,08/23/2016 12:00:00 AM,Sigifredo Rodríguez Ramos,Cerrada,19598,8 Unidad of kit Clásico Clima Cálido De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,940144.00,Dotaciones de Vestuario,Ibagué,Obligada,ND
2014,1008,Ejecutiva,Hacienda y Crédito Público,UAE - CONTADURIA GENERAL DE LA NACION,Lina Maria Arias Loaiza,12/18/2014 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Emitida,3436,100 Unidad of INACTIVE PAPEL HIGIENICO FAMILIA JUMBO NATURAL TRIPLE HOJA 4 UNX170m 10 Unidad of INACTIVE TOALLA MANOS ROLLO ECOLOGICO TH 2undsX150m 30 Unidad of INACTIVE LAVALOZA LIQUIDO SALVO LIMON 900cc 50 Unidad of INACTIVE DETERGENTE ARO LIMON X 5000 g 30 Unidad of INACTIVE GUANTE ARO SUPER INDUSTRIAL X 3 unds T-8 30 Unidad of INACTIVE GUANTE ARO SUPER DOMESTICO X3un T-8.5 5 Unidad of INACTIVE LIMPION INDUSTRIAL SANITISU X 700 METROS 20 Unidad of INACTIVE BAYETILLA AMARILLA 36X60 PAQUETE X 6 20 Unidad of INACTIVE TRAPERO ENCABADO ARO 500 g 30 Unidad of INACTIVE ESPONJILLA LA MAQUINA X 6 unds 20 Unidad of INACTIVE DESENGRASANTE ARO X 4000 cc 20 Unidad of INACTIVE CERA MANSION MAXIMO BRILLO 2000cc 50 Unidad of INACTIVE LIMPIADOR EASY OFF MULTIUSOS 500cc+RTO500cc 5 Unidad of INACTIVE TAPABOCA LATEXPORT DESECHABLE X50und 80 Unidad of INACTIVE AMBIENTADOR BONAIRE MANZANA CANELA X 400 cc 500 Unidad of INACTIVE BOLSA PLASTICA NEGRA PAQUETE X30UND 65X80CM,16398715.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10081,Ejecutiva,Presidencia de la República,DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA,Carolina Morales Rodriguez,08/23/2016 12:00:00 AM,Omar Vanegas Nieto,Cerrada,19524,54 Unidad of kit Clásico Clima Frio De 1 a 100- H 14 Unidad of kit Camisa formal manga larga Otros De 1 a 100- H 24 Unidad of kit Camiseta tipo polo Otros De 1 a 100- H 24 Unidad of kit Jean clásico Otros De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,10683152.00,Dotación de vestuario,Bogotá,Obligada,ND
2016,10197,Legislativa,Justicia y del Derecho,FISCALIA GENERAL DE LA NACION SECCIONAL CHOCO,Sergio Garcia Rivas,08/29/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,18790,6 Unidad of Escaner canon DR-C225,12060000.00,Grandes Superficies,Quibdo,No obligada,ND
2020,44315,Judicial,Justicia y del Derecho,RAMA JUDICIAL- CONSEJO SUPERIOR DE LA JUDICATURA - DIRECCION EJECUTIVA SECCIONAL DE ADMINISTRACION JUDICIAL BARRANQUILLA,Alfredo hadechni munive,01/16/2020 12:00:00 AM,Distracom S.A.,Emitida,74471,22 500 000 Peso (COP) of Combustible (Categoría A) - Referencia Barranquilla,22500000.00,Combustible (Nacional) II,Barranquilla,No obligada,NO
2020,44316,Ejecutiva,Función Pública,ANTIOQUIA - ALCALDIA DE BARBOSA,Juan Fernando Ramirez Agudelo,01/16/2020 12:00:00 AM,UT Soluciones Microsoft 2017,Emitida,75232,15 Unidad of msf02--021-10618 Microsoft Office 2019 Government OLP 1License NoLevel 1 Unidad of msf02--IVA,20709183.37,Microsoft II,Barbosa,No obligada,NO
2020,44317,Ejecutiva,Salud y Protección Social,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,Maria Claudia Oñate Vasquez,01/16/2020 12:00:00 AM,Organización Terpel S.A.,Emitida,75254,1 Peso (COP) of Combustible (Categoría A) - Referencia Bogotá,1.00,Combustible (Bogotá) II,Bogotá,No obligada,NO
2020,44318,Judicial,Justicia y del Derecho,VALLE DEL CAUCA - ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BUENAVENTURA,Johanna Patricia Sanchez Meza,01/16/2020 12:00:00 AM,Distracom S.A.,Emitida,69198,9 272 873 Peso (COP) of Combustible (Categoría B),9272873.00,Combustible (Nacional) II,Buenaventura,Obligada,NO
2016,10085,Ejecutiva,No Definido,DEPARTAMENTO DEL MAGDALENA,Rosa Cotes de Zuñiga,08/23/2016 12:00:00 AM,La Previsora S.A.,Emitida,19617,1 Unidad of 110 MOTOS Hasta 100c.c.  1 Unidad of 120 MOTOS 100 a 200c.c.  1 Unidad of 130 MOTOS Más de 200c.c.  1 Unidad of 140 MOTOS Motocarros  1 Unidad of 211 CAMPEROS Y CAMIONETAS Hasta 1500c.c. 0 a 9 años 1 Unidad of 212 CAMPEROS Y CAMIONETAS Hasta 1500c.c. Más de 10 1 Unidad of 221 CAMPEROS Y CAMIONETAS 1500 a 2500c.c. 0 a 9 años 1 Unidad of 222 CAMPEROS Y CAMIONETAS 1500 a 2500c.c. Más de 10 1 Unidad of 231 CAMPEROS Y CAMIONETAS Más de 2500c.c. 0 a 9 años 1 Unidad of 232 CAMPEROS Y CAMIONETAS Más de 2500c.c. Más de 10 1 Unidad of 310 CARGA O MIXTO Hasta 5 toneladas  1 Unidad of 320 CARGA O MIXTO 5 a 15 toneladas  1 Unidad of 330 CARGA O MIXTO Más de 15 toneladas  1 Unidad of 410 OFICIALES ESPECIALES Hasta 1500c.c.  1 Unidad of 420 OFICIALES ESPECIALES 1500 a 2500c.c.  1 Unidad of 430 OFICIALES ESPECIALES Más de 2500 c.c.  1 Unidad of 511 AUTOS FAMILIARES Hasta 1500c.c. 0 a 9 años 1 Unidad of 512 AUTOS FAMILIARES Hasta 1500c.c. Más de 10 1 Unidad of 521 AUTOS FAMILIARES 1500 a 2500c.c. 0 a 9 años 1 Unidad of 522 AUTOS FAMILIARES 1500 a 2500c.c. Más de 10 1 Unidad of 531 AUTOS FAMILIARES Más de 2500c.c. 0 a 9 años 1 Unidad of 532 AUTOS FAMILIARES Más de 2500c.c. Más de 10 1 Unidad of 611 VEHICULOS PARA SEIS O MAS PASAJEROS Hasta 2500c.c. 0 a 9 años 1 Unidad of 612 VEHICULOS PARA SEIS O MAS PASAJEROS Hasta 2500c.c. Más de 10 1 Unidad of 621 VEHICULOS PARA SEIS O MAS PASAJEROS Más de 2500c.c. 0 a 9 años 1 Unidad of 622 VEHICULOS PARA SEIS O MAS PASAJEROS Más de 2500c.c. Más de 10 1 Unidad of 711 AUTOS DE NEGOCIOS Y TAXIS Hasta 1500c.c. 0 a 9 años 1 Unidad of 712 AUTOS DE NEGOCIOS Y TAXIS Hasta 1500c.c. Más de 10 1 Unidad of 721 AUTOS DE NEGOCIOS Y TAXIS 1500 a 2500c.c. 0 a 9 años 1 Unidad of 722 AUTOS DE NEGOCIOS Y TAXIS 1500 a 2500c.c. Más de 10 1 Unidad of 731 AUTOS DE NEGOCIOS Y TAXIS Más de 2500c.c. 0 a 9 años 1 Unidad of 732 AUTOS DE NEGOCIOS Y TAXIS Más de 2500c.c. Más de 10 1 Unidad of 810 BUSES Y BUSETAS DE SERVICIO PUBLICO URBANO   1 Unidad of 910 SERVICIO PUBLICO INTERMUNICIPAL Hasta 10 pasajeros  1 Unidad of 920 SERVICIO PUBLICO INTERMUNICIPAL Más de 10 pasajeros,6568041.00,SOAT II,Santa Marta,No obligada,ND
2016,10087,Ejecutiva,Función Pública,GOBERNACION DE BOLIVAR,Merys Castro Pereira,08/23/2016 12:00:00 AM,AUTOMAYOR S.A.,Cerrada,19622,1 Unidad of CHEVROLET LV 152 MT 15700CC TD 4X2 1 Unidad of Adecuaciones y Accesorios Adicionales 1 Unidad of Mantenimiento Preventivo 1 Unidad of Requerimientos de la Matricula 1 Unidad of Gravámenes adicionales 1 Unidad of Lugar de Entrega,524421802.00,Vehículos II,Caratgena,No obligada,ND
2016,10089,Ejecutiva,Justicia y del Derecho,INPEC - COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE BOGOTA,Jesús Albeiro Peña Roa,08/24/2016 12:00:00 AM,PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.,Cerrada,19068,3 Unidad of TONER H.P CE505A NEGRO LJ P2035/P2055 Cod: 8490936 3 Unidad of TONER H.P CF280A NEGRO LJ M400/M401/M425 Cod: 8490940 200 Unidad of CUADERNO COSIDO GDE 100 HOJAS CUADROS Cod: 8499890 60 Unidad of CARTON PAJA BLANCO 70X100 390 GRS. Cod: 8007932 15 Unidad of BLOCK PAPEL IRIS CARTA CROMACOLOR 50 H. Cod: 8014220 10 Unidad of TEMPERA X 6 COLORES TROPICOLOR Cod: 8490854 100 Unidad of PAPEL PERIODICO 48.5 GR 70X100 UNIDAD Cod: 8490737 20 Unidad of COLORES MAGICOLOR X 12 BICOLOR NORMAL AC Cod: 8002456 24 Unidad of MARCADOR ROJO PERMANENTE ERGONOMICO Cod: 8490662 24 Unidad of MARCADOR AZUL PERMANENTE ERGONOMICO Cod: 8490763 24 Unidad of MARCADOR NEGRO PERMANENTE ERGONOMICO Cod: 8490773,3365312.00,Grandes Superficies,Bogotá,Obligada,ND
2014,1009,Ejecutiva,Defensa Nacional,DIRECCION DE SANIDAD ARMADA NACIONAL,Wilson Ramírez Quiroga,12/18/2014 12:00:00 AM,Organización Terpel S.A.,Emitida,2228,11 250 000 Peso (COP) of Combustible Terpel - Bogotá,11250000.00,Combustible (Bogotá),Bogotá,Obligada,ND
2016,10090,Ejecutiva,Justicia y del Derecho,INPEC - COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE BOGOTA,Jesús Albeiro Peña Roa,08/24/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Cerrada,19594,2 Unidad of Televisor 50 126cm LED Sony 50W807CFHDIn 1 Unidad of Parlante Kalley K-SPK70B BT 1 Unidad of  Camara Semi Nikon P530 Est+ 4GB Ng  1 Unidad of Microfono Kalley K-MA30 1 Unidad of Base Inclinable 40 /55  33T 5 Unidad of Mesa Caribe II Blanca,7575300.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10092,Ejecutiva,Defensa Nacional,CAJA DE SUELDOS DE RETIRO DE LA POLICIA NACIONAL,Elias Morales Morales,08/24/2016 12:00:00 AM,PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.,Emitida,15546,2 Unidad of INACTIVE BORRADOR PARA TABLERO EN FELPA MADERA Cod: 8490753 40 Unidad of INACTIVE BORRADOR NATA SUELTO PZ-20 Cod: 8490750 2 000 Unidad of INACTIVE CAJA PARA ARCHIVO INACTIVO 19.5X40X26CM Cod: 8490670 50 Unidad of INACTIVE GRAPA 23/8 X1000 GALVANIZADA LISA Cod: 8001511 20 Unidad of INACTIVE GRAPA 23/17 X1000 GALVANIZADA LISA 150 H Cod: 8083792 3 Unidad of INACTIVE LIBRO ACTAS 200 FOLIOS ECON. OFICIO Cod: 8009983 10 Unidad of INACTIVE PASTA LIMPIATIPOS PELIKAN Cod: 8026640 6 Unidad of INACTIVE REGLA PLANA ACRILICA 30CM RAPID Cod: 8123282 12 Unidad of INACTIVE SACAGANCHOS 508B GENMES Cod: 8114095 2 Unidad of INACTIVE TABLERO ACRILICO 080X120 DOBLE C/SOPORTE Cod: 8004497 30 Unidad of INACTIVE TAJALAPIZ METALICO SENCILLO Cod: 8490912 300 Unidad of INACTIVE SOBRE MANILA OFICIO ESP. 27X37 ECOLOGICO Cod: 8024210 200 Unidad of INACTIVE SOBRE MANILA CARTA ESP. 25X31 ECOLOGICO Cod: 8024200 16 Unidad of INACTIVE PAD MOUSE GEL NEGRO KMP-100B Cod: 8159474 150 Unidad of INACTIVE GRAPA 26/6 X5000 COBRE LISA Cod: 8001503,5729008.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10093,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/24/2016 12:00:00 AM,Manufacturas Delmyp S.A.S.,Emitida,19567,1 723 Unidad of Morral de campaña FT JELOG DINTR 00001 A2 1 723 Unidad of Parrilla metálica para morral de campaña NTMD 0198 A3 1 Unidad of IVA,564458811.14,Material de Intendencia,Bogotá,Obligada,ND
2016,10098,Ejecutiva,Defensa Nacional,CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA CENAC CONVENIOS,Julio Alejandro Quintero Jimenez,08/24/2016 12:00:00 AM,Manufacturas Delmyp S.A.S.,Emitida,19561,2 363 Unidad of Cantimplora NTMD 0087 A4 2 363 Unidad of Jarro para cantimplora NTMD 0097 A3 2 363 Unidad of Portacantimplora NTMD 0098 A4 1 Unidad of IVA,91273441.22,Material de Intendencia,Bogotá,Obligada,ND
2016,10100,Ejecutiva,Trabajo,MINISTERIO DEL TRABAJO,Diana Paola Reyes Bernal,08/24/2016 12:00:00 AM,Omar Vanegas Nieto,Emitida,19605,22 Unidad of kit Dotación Clima Frio De 1 a 100- M 22 Unidad of kit Pantalón formal Otros De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,4855639.00,Dotaciones de Vestuario,Bogotá,Obligada,ND
2016,10101,Ejecutiva,Trabajo,MINISTERIO DEL TRABAJO,Diana Paola Reyes Bernal,08/24/2016 12:00:00 AM,Twity S.A.,Emitida,19613,22 Unidad of kit Un par de zapatos Calzado De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,1559502.00,Dotaciones de Vestuario,Bogotá,Obligada,ND
2016,10102,Ejecutiva,Trabajo,MINISTERIO DEL TRABAJO,Diana Paola Reyes Bernal,08/24/2016 12:00:00 AM,Omar Vanegas Nieto,Emitida,19614,35 Unidad of kit Dotación Clima Frio De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,5706411.00,Dotaciones de Vestuario,Bogotá,Obligada,ND
2016,10103,Ejecutiva,Trabajo,UNIDAD ADMIN ESPECIAL DEL SERVICIO PUBLICO EMPLEO,Nurys Cecilia Maya Monsalvo,08/24/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,11992,1 Unidad of Tv 55  138 cm SAMSUNG 55J6300 Full HD Internet 2 Unidad of Base Fija LCD   LED   PLASMA 26 A 32  ST-WTV-11F,3062800.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10104,Ejecutiva,Trabajo,UNIDAD ADMIN ESPECIAL DEL SERVICIO PUBLICO EMPLEO,Nurys Cecilia Maya Monsalvo,08/24/2016 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Cerrada,11992,2 Unidad of TELEVISOR SAMSUNG LED 40 PULGADAS 101.6cmSMARTFHD 1 Unidad of Soprte  SONYA TV FIJO TV 26 A 55  parte del proveedor 7707204600694,2884346.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10105,Ejecutiva,Trabajo,UNIDAD ADMIN ESPECIAL DEL SERVICIO PUBLICO EMPLEO,Nurys Cecilia Maya Monsalvo,08/24/2016 12:00:00 AM,CENCOSUD COLOMBIA S.A.,Emitida,11992,1 Unidad of INACTIVE SOPORTE LCD A PARED FIJO DE 42 A 55 LL-LW-F105,56980.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10106,Ejecutiva,Defensa Nacional,COMANDO GENERAL FUERZAS MILITARES,Sandra Patricia Grimaldo Alvarez,08/24/2016 12:00:00 AM,Oracle Colombia Ltda,Cerrada,19655,1 Unidad of Servicios Oracle (CCE-211-AG-2015),31506828.91,Servicios Oracle,Bogotá,Obligada,ND
2016,10066,Ejecutiva,Transporte,CORPORACION AUTONOMA REGIONAL DEL RIO GRANDE DE LA MAGDALENA,Luis Alvaro Mendoza Mazzeo,08/22/2016 12:00:00 AM,La Previsora S.A.,Emitida,19577,1 Unidad of 120 MOTOS 100 a 200c.c.  1 Unidad of 231 CAMPEROS Y CAMIONETAS Más de 2500c.c. 0 a 9 años 1 Unidad of 621 VEHICULOS PARA SEIS O MAS PASAJEROS Más de 2500c.c. 0 a 9 años,2517744.00,SOAT II,Barrancabermeja,No obligada,ND
2016,10107,Ejecutiva,Defensa Nacional,SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA,Yuddy Samirna Velandia Delgado,08/24/2016 12:00:00 AM,Seguros Generales Suramericana S.A.,Cerrada,19643,1 Unidad of 231 CAMPEROS Y CAMIONETAS Más de 2500c.c. 0 a 9 años 1 Unidad of 521 AUTOS FAMILIARES 1500 a 2500c.c. 0 a 9 años,825565.00,SOAT II,Bogotá,Obligada,ND
2016,10108,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/24/2016 12:00:00 AM,Manufacturas Delmyp S.A.S.,Emitida,19630,915 Unidad of Morral de campaña FT JELOG DINTR 00001 A2 915 Unidad of Parrilla metálica para morral de campaña NTMD 0198 A3 1 Unidad of IVA,299756130.12,Material de Intendencia,Nilo Cundinamarca,Obligada,ND
